2015
January,6.30162, 254.68
February,5.91252, 197.401
March,5.92793, 186.457
April,6.1536, 125.645
May,5.23307, 107.116
June,5.55639, 81.5565
July,5.04564, 79.4443
August,5.47944, 101.829
September,5.70654, 167.069
October,5.3685, 191.059
November,5.91992, 238.996
December,6.17142, 265.55
